temperature,Voltage,power_usage,battery_health,uptime,site_type,location_type,energy_efficiency
32.9,240.17,1502.0,91.68,1,Ground,Urban,90.09
47.6,245.5,374.0,97.74,2,Rooftop,Urban,94.99
38.3,239.85,620.0,96.15,3,Rooftop,Rural,93.9
39.7,235.72,280.0,96.82,4,Rooftop,Rural,98.73
36.5,243.95,1372.0,90.45,5,Ground,Rural,94.86
42.5,241.54,284.0,97.13,6,Rooftop,Rural,100.0
42.6,244.52,196.0,98.32,7,Rooftop,Rural,100.0
29.6,239.05,2234.0,83.76,8,Rooftop,Rural,80.51
38.7,249.24,486.0,97.54,9,Ground,Urban,99.77
36.0,245.22,1842.0,83.07,10,Ground,Urban,71.88
41.6,242.2,752.0,94.93,11,Rooftop,Urban,93.97
25.9,238.17,2192.0,78.07,12,Rooftop,Rural,79.66
42.7,242.32,1308.0,89.24,13,Ground,Urban,85.89
37.2,242.65,424.0,96.74,14,Rooftop,Rural,100.0
48.9,239.65,1288.0,89.25,15,Ground,Urban,82.79
39.5,241.34,522.0,94.87,16,Ground,Rural,97.04
33.3,237.02,276.0,97.08,17,Rooftop,Rural,99.15
29.1,238.36,1432.0,92.12,18,Ground,Rural,96.57
27.7,237.54,1288.0,88.94,19,Ground,Urban,92.27
32.8,243.17,314.0,96.77,20,Ground,Urban,100.0
36.5,241.67,708.0,93.74,21,Ground,Rural,97.77
35.9,242.97,478.0,94.39,22,Ground,Urban,97.02
42.8,246.63,596.0,95.01,23,Rooftop,Urban,91.8
30.6,239.1,1378.0,86.39,24,Rooftop,Urban,86.65
40.6,235.53,4762.0,57.51,1,Ground,Urban,37.4
24.8,240.54,1762.0,87.89,2,Rooftop,Rural,90.43
41.5,244.36,322.0,97.45,3,Ground,Rural,100.0
38.5,237.45,2832.0,78.67,4,Rooftop,Urban,66.43
40.1,244.82,1538.0,87.89,5,Rooftop,Urban,86.68
23.9,241.01,1470.0,90.93,6,Rooftop,Rural,94.64
28.1,240.1,270.0,98.42,7,Rooftop,Rural,100.0
23.5,243.29,308.0,97.35,8,Rooftop,Rural,100.0
32.4,229.35,3412.0,75.18,9,Ground,Urban,68.52
32.0,242.78,964.0,90.76,10,Ground,Rural,98.84
33.9,243.9,346.0,97.41,11,Ground,Urban,100.0
33.2,240.17,2642.0,85.83,12,Ground,Rural,77.62
40.9,240.27,1342.0,87.85,13,Ground,Rural,84.55
30.6,241.13,492.0,96.82,14,Ground,Urban,100.0
42.2,234.34,2856.0,78.5,15,Ground,Urban,65.25
39.0,235.91,3614.0,75.12,16,Rooftop,Urban,60.1
